As on Wed| Dec 06 2017| 23:15 GMT
base_currency_complete_name,base_currency,other_currency,other_per_base
Canadian Dollar (CAD),CAD,KES,80.4448
Canadian Dollar (CAD),CAD,KWD,0.236
Canadian Dollar (CAD),CAD,LBP,1178.5342
Canadian Dollar (CAD),CAD,MYR,3.1862
Canadian Dollar (CAD),CAD,MUR,26.3807
Canadian Dollar (CAD),CAD,MXN,14.754
Canadian Dollar (CAD),CAD,MAD,7.3851
Canadian Dollar (CAD),CAD,NZD,1.1366
Canadian Dollar (CAD),CAD,NOK,6.4636
Canadian Dollar (CAD),CAD,OMR,0.3006
Canadian Dollar (CAD),CAD,PEN,2.5294
Canadian Dollar (CAD),CAD,PHP,39.6572
Canadian Dollar (CAD),CAD,PLN,2.7904
Canadian Dollar (CAD),CAD,QAR,2.8457
Canadian Dollar (CAD),CAD,RON,3.0668
Canadian Dollar (CAD),CAD,RUB,46.2772
Canadian Dollar (CAD),CAD,SAR,2.9317
Canadian Dollar (CAD),CAD,SGD,1.0547
Canadian Dollar (CAD),CAD,SKK,0.7818
Canadian Dollar (CAD),CAD,ZAR,10.5716
Canadian Dollar (CAD),CAD,KRW,854.8087
Canadian Dollar (CAD),CAD,LKR,119.9175
Canadian Dollar (CAD),CAD,SDG,5.2368
Canadian Dollar (CAD),CAD,SEK,6.5884
Canadian Dollar (CAD),CAD,CHF,0.7736
Canadian Dollar (CAD),CAD,TWD,23.462
Canadian Dollar (CAD),CAD,THB,25.503
Canadian Dollar (CAD),CAD,TTD,5.2668
Canadian Dollar (CAD),CAD,TND,1.9432
Canadian Dollar (CAD),CAD,TRY,3.0113
Canadian Dollar (CAD),CAD,VEF,7.808
Canadian Dollar (CAD),CAD,VND,17774.7428
Canadian Dollar (CAD),CAD,ZMK,0.7818
Euro (EUR),EUR,AUD,1.5609                        
Euro (EUR),EUR,CAD,1.5099                        
Euro (EUR),EUR,EUR,1                        
Euro (EUR),EUR,JPY,132.4993                        
Euro (EUR),EUR,PKR,124.4329                        
Euro (EUR),EUR,AED,4.3351                        
Euro (EUR),EUR,GBP,0.8821                        
Euro (EUR),EUR,USD,1.1804                        
Euro (EUR),EUR,AFN,81.3613
Euro (EUR),EUR,ALL,133.8607
Euro (EUR),EUR,DZD,136.1145
Euro (EUR),EUR,ARS,20.3583
Euro (EUR),EUR,BSD,1.1804
Euro (EUR),EUR,BHD,0.4438
Euro (EUR),EUR,BDT,97.927
Euro (EUR),EUR,BBD,2.3608
Euro (EUR),EUR,BMD,1.1804
Euro (EUR),EUR,BRL,3.8195
Euro (EUR),EUR,BGN,1.9558
Euro (EUR),EUR,XOF,655.957
Euro (EUR),EUR,XAF,655.957
Euro (EUR),EUR,CLP,771.7677
Euro (EUR),EUR,CNY,7.8082
Euro (EUR),EUR,COP,3551.7228
Euro (EUR),EUR,XPF,119.3317
Euro (EUR),EUR,CRC,668.0111
Euro (EUR),EUR,HRK,7.5471
Euro (EUR),EUR,CZK,25.6211
Euro (EUR),EUR,DKK,7.4416
Euro (EUR),EUR,DOP,56.7158
Euro (EUR),EUR,XCD,3.1871
Euro (EUR),EUR,EGP,20.9968
Euro (EUR),EUR,EEK,1.1804
Euro (EUR),EUR,FJD,2.4615
Euro (EUR),EUR,HKD,9.2226
Euro (EUR),EUR,HUF,314.2839
Euro (EUR),EUR,ISK,123.3903
Euro (EUR),EUR,XDR,0.8349
Euro (EUR),EUR,INR,76.1733
Euro (EUR),EUR,IDR,15984.2551
Euro (EUR),EUR,IRR,41672.3535
Euro (EUR),EUR,IQD,1411.4498
Euro (EUR),EUR,ILS,4.1506
Euro (EUR),EUR,JMD,147.9113
Euro (EUR),EUR,JOD,0.8369
Euro (EUR),EUR,KES,121.4646
Euro (EUR),EUR,KWD,0.3563
Euro (EUR),EUR,LBP,1779.4848
Euro (EUR),EUR,MYR,4.8109
Euro (EUR),EUR,MUR,39.8326
Euro (EUR),EUR,MXN,22.2773
Euro (EUR),EUR,MAD,11.1508
Euro (EUR),EUR,NZD,1.7162
Euro (EUR),EUR,NOK,9.7595
Euro (EUR),EUR,OMR,0.4539
Euro (EUR),EUR,PEN,3.8192
Euro (EUR),EUR,PHP,59.8789
Euro (EUR),EUR,PLN,4.2133
Euro (EUR),EUR,QAR,4.2967
Euro (EUR),EUR,RON,4.6306
Euro (EUR),EUR,RUB,69.8746
Euro (EUR),EUR,SAR,4.4266
Euro (EUR),EUR,SGD,1.5925
Euro (EUR),EUR,SKK,1.1804
Euro (EUR),EUR,ZAR,15.9622
Euro (EUR),EUR,KRW,1290.6873
Euro (EUR),EUR,LKR,181.0651
Euro (EUR),EUR,SDG,7.9072
Euro (EUR),EUR,SEK,9.9479
Euro (EUR),EUR,CHF,1.1681
Euro (EUR),EUR,TWD,35.4256
Euro (EUR),EUR,THB,38.5074
Euro (EUR),EUR,TTD,7.9525
Euro (EUR),EUR,TND,2.9341
Euro (EUR),EUR,TRY,4.5467
Euro (EUR),EUR,VEF,11.7895
Euro (EUR),EUR,VND,26838.3254
Euro (EUR),EUR,ZMK,1.1804
Japanese Yen (JPY),JPY,AUD,0.0118                        
Japanese Yen (JPY),JPY,CAD,0.0114                        
Japanese Yen (JPY),JPY,EUR,0.0075                        
Japanese Yen (JPY),JPY,JPY,1                        
Japanese Yen (JPY),JPY,PKR,0.9391                        
Japanese Yen (JPY),JPY,AED,0.0327                        
Japanese Yen (JPY),JPY,GBP,0.0067                        
Japanese Yen (JPY),JPY,USD,0.0089                        
Japanese Yen (JPY),JPY,AFN,0.6141
Japanese Yen (JPY),JPY,ALL,1.0103
Japanese Yen (JPY),JPY,DZD,1.0273
Japanese Yen (JPY),JPY,ARS,0.1536
Japanese Yen (JPY),JPY,BSD,0.0089
Japanese Yen (JPY),JPY,BHD,0.0033
