As on Sat| Nov 04 2017| 14:15 GMT
base_currency_complete_name,base_currency,other_currency,other_per_base
Canadian Dollar (CAD),CAD,KES,81.36
Canadian Dollar (CAD),CAD,KWD,0.2373
Canadian Dollar (CAD),CAD,LBP,1182.2347
Canadian Dollar (CAD),CAD,MYR,3.32
Canadian Dollar (CAD),CAD,MUR,27.1794
Canadian Dollar (CAD),CAD,MXN,15.1069
Canadian Dollar (CAD),CAD,MAD,7.4636
Canadian Dollar (CAD),CAD,NZD,1.1348
Canadian Dollar (CAD),CAD,NOK,6.4076
Canadian Dollar (CAD),CAD,OMR,0.3016
Canadian Dollar (CAD),CAD,PEN,2.5615
Canadian Dollar (CAD),CAD,PHP,40.2061
Canadian Dollar (CAD),CAD,PLN,2.867
Canadian Dollar (CAD),CAD,QAR,2.8538
Canadian Dollar (CAD),CAD,RON,3.094
Canadian Dollar (CAD),CAD,RUB,46.3449
Canadian Dollar (CAD),CAD,SAR,2.949
Canadian Dollar (CAD),CAD,SGD,1.0698
Canadian Dollar (CAD),CAD,SKK,0.7838
Canadian Dollar (CAD),CAD,ZAR,11.1669
Canadian Dollar (CAD),CAD,KRW,874.1124
Canadian Dollar (CAD),CAD,LKR,120.3975
Canadian Dollar (CAD),CAD,SDG,5.2304
Canadian Dollar (CAD),CAD,SEK,6.6228
Canadian Dollar (CAD),CAD,CHF,0.7844
Canadian Dollar (CAD),CAD,TWD,23.6689
Canadian Dollar (CAD),CAD,THB,26.0568
Canadian Dollar (CAD),CAD,TTD,5.2586
Canadian Dollar (CAD),CAD,TND,1.9596
Canadian Dollar (CAD),CAD,TRY,3.0491
Canadian Dollar (CAD),CAD,VEF,8.6408
Canadian Dollar (CAD),CAD,VND,17784.0749
Canadian Dollar (CAD),CAD,ZMK,0.7838
Euro (EUR),EUR,AUD,1.5172                        
Euro (EUR),EUR,CAD,1.4816                        
Euro (EUR),EUR,EUR,1                        
Euro (EUR),EUR,JPY,132.4448                        
Euro (EUR),EUR,PKR,122.3836                        
Euro (EUR),EUR,AED,4.2634                        
Euro (EUR),EUR,GBP,0.8881                        
Euro (EUR),EUR,USD,1.1614                        
Euro (EUR),EUR,AFN,79.3971
Euro (EUR),EUR,ALL,133.4514
Euro (EUR),EUR,DZD,134.7802
Euro (EUR),EUR,ARS,20.4698
Euro (EUR),EUR,BSD,1.1614
Euro (EUR),EUR,BHD,0.4375
Euro (EUR),EUR,BDT,96.3187
Euro (EUR),EUR,BBD,2.3227
Euro (EUR),EUR,BMD,1.1614
Euro (EUR),EUR,BRL,3.8482
Euro (EUR),EUR,BGN,1.9487
Euro (EUR),EUR,XOF,655.957
Euro (EUR),EUR,XAF,655.957
Euro (EUR),EUR,CLP,736.8791
Euro (EUR),EUR,CNY,7.7045
Euro (EUR),EUR,COP,3524.7724
